vehicle,drag_x,drag_y,drag_z,drag_cx,drag_cy,drag_cz,fork_r_1_LENGTH,cylinder_1_LENGTH,fork_l_2_LENGTH,fork_r_2_LENGTH,tbar_cross_2_LENGTH,post_r_1_LENGTH,tbar_post_1_LENGTH,tbar_post_3_LENGTH,tbar_post_2_LENGTH,post_r_2_LENGTH,cylinder_0_LENGTH,fork_l_1_LENGTH,post_l_1_LENGTH,post_l_2_LENGTH,tbar_cross_1_LENGTH,tbar_cross_3_LENGTH,t_post_mp_top_prop_DIAMETER,t_post_mp_bottom_prop_DIAMETER,tail_tbar_cross_mp_prop_DIAMETER,fork_post_mp_1_prop_DIAMETER,t_cross_mp_bottom_prop_DIAMETER,tail_tbar_post_mp_prop_DIAMETER,fork_post_mp_2_prop_DIAMETER,fork_post_mp_3_prop_DIAMETER,t_cross_mp_top_prop_DIAMETER,fork_post_mp_4_prop_DIAMETER,right_wing_CHORD_1,right_wing_CHORD_2,right_wing_SPAN,left_wing_CHORD_1,left_wing_CHORD_2,left_wing_SPAN
tbar_double,1665121.6861670264,3215630.988221689,3375951.415963897,-403.2887526158102,70.9452405246916,-18.685531161111548,1487.9760209701146,1946.7650232790838,1532.8538030679686,1529.1228200380376,941.1914166220363,499.27239490555206,2003.6597829790437,2063.0604132504086,1988.56996797568,514.2695204594868,1914.8794241499772,1529.4016237511528,517.6054098493605,497.74894031694856,1067.607191545135,1033.2464358694092,1591.093702910818,1487.9367356521577,1516.6155503229727,1622.8277519803098,1558.0195681658254,1494.4103051487978,1566.2842044693728,1451.5305846236454,1493.6795768995746,1505.3870208656253,1359.971931198414,1464.6829617723026,7936.463427325955,1391.2373459294938,1377.558472842904,7959.798473982815
tbar_double,1665517.1794257122,3215246.839918565,3376179.5400640704,-399.2335548930098,85.5319522948562,-16.499452405767766,1501.3508017177603,1956.1948881707956,1542.0453492354006,1509.9465401038433,925.580482642333,503.0559543096902,1985.6870437958464,2050.1408815733403,1997.6586423353508,520.9363923010341,1932.2195437288892,1528.1026392115155,521.969817522666,483.9610982789376,1060.8261672763356,1018.1785596186045,1582.850870398968,1479.9264581647174,1531.5577265558827,1615.7758803753604,1552.1766395233874,1477.0788777995474,1583.0277944596144,1444.963882167623,1507.2513501340115,1499.0779231067204,1351.714941983909,1473.2624403970547,7919.027070371351,1382.8618803068466,1367.7259597606123,7941.536798305682
tbar_double,1665088.7541503394,3221605.088779623,3374933.9487819597,-399.91841885522365,88.7558169110206,-16.800458228582954,1489.572553265223,1947.9994014268348,1523.9907986458238,1519.36257453956,906.4157363889175,513.8126592056753,1973.4015384456256,2067.735195298408,1982.944513373838,511.2996446144318,1938.6782981555086,1542.1868475918125,517.6375722725018,476.13674438497077,1069.9216597226064,1016.6673991691844,1571.3643900858642,1497.7424958623205,1539.010587230937,1628.4319001689275,1564.2314271185537,1468.4198567400435,1570.8528564412811,1463.4007955756065,1518.985786065929,1498.1313262579788,1361.5045828402258,1459.4422012078917,7932.832737776809,1368.9598834057024,1371.8511470535068,7937.6959046402635
tbar_double,1658098.1495326865,3219818.657171906,3367745.6373432847,-402.11260693823476,96.89635541998975,-16.84185808815843,1476.3016462244593,1940.5675018075563,1536.6917401136366,1514.187872022882,903.438766324922,506.4067130282755,1989.2063216075844,2057.828125883932,2001.5104780246106,526.2499189367062,1920.2318265621848,1524.113079383662,523.8570081486454,495.44375972477224,1075.774606766697,1005.3519219400072,1560.844995959997,1501.8866745023931,1543.32058761564,1633.362297630577,1558.364094691343,1460.8698565995642,1589.080335928633,1448.431261564729,1525.108917565758,1498.022245575978,1369.8501400927942,1477.0730815298755,7916.440985714691,1366.0481450550753,1376.5445031511647,7945.674623229815
tbar_double,1656454.0510698103,3217781.839717396,3364290.332346268,-399.27044211682806,119.60144928103533,-17.3079467596915,1476.678446756563,1951.7391359939252,1518.7988134443156,1506.1619084192942,887.8422982547049,497.40545244339677,1998.5457799336762,2071.3414794101072,1989.337974175877,538.5610055252142,1919.3299577188027,1513.318220099255,521.8319771438373,482.003059691204,1065.9238504082746,1020.0296796752964,1562.476867344394,1499.5417322352257,1531.0574361799331,1616.5434503954416,1555.4422836064055,1453.2879266257353,1576.3937469403459,1468.2134581853018,1532.5514884134245,1496.4762822107061,1373.196610516086,1491.5712193842082,7899.727093623838,1346.2989306745137,1368.8886924240974,7932.334864944808
tbar_double,1651012.4260167617,3205486.524186311,3361892.59915008,-397.25004552570505,119.2042351103339,-18.22281113182982,1463.704210074614,1935.561773805659,1512.093766370052,1512.3991049605352,887.7056823273174,479.3964683802532,2015.3088528048584,2052.50412099783,1999.7847567056688,520.6468831927499,1937.2437708044358,1522.4767276899283,524.1288946916242,468.1545612757967,1049.2614737454287,1000.3023477111822,1572.1591234141608,1482.6601718574389,1540.0811378035435,1609.105603226694,1570.5700717019768,1458.770962307271,1563.1176424993687,1469.81129166361,1528.8147097247845,1494.7206618485857,1390.4738206488992,1492.792753750491,7909.293788313834,1327.0675416270828,1374.4439426873566,7949.402455519173
tbar_double,1651570.4488243416,3213313.614036284,3371145.953228458,-396.2750370279828,93.32004239559436,-18.673050964564425,1459.0850178979574,1952.3434090111627,1528.5326036717058,1506.8709245692646,895.3717562446022,478.2763668807235,2031.6300428379102,2070.7711896278997,2000.1036890983478,502.2100295605933,1954.3695892497194,1536.7066420167478,530.0610181296504,453.8199231253487,1053.02050409142,994.4844267838295,1553.9064690290634,1486.7197601466091,1547.111581209892,1604.8651815437524,1578.5708614035968,1450.8548144307429,1573.5492983285828,1465.225407509554,1535.7598392657267,1508.805285345523,1384.1574396839999,1486.3277058528818,7897.70485652358,1331.9963124525761,1387.5586940054213,7941.080446408445
tbar_double,1652937.1289807712,3210919.817161764,3369162.7129502054,-396.19604588798563,79.3671798780809,-16.030754497418318,1468.360235775636,1938.2676170817715,1529.8192976312946,1514.77454428545,901.0310107355568,495.15877581290323,2048.759635999178,2060.8935524728336,2011.169004677287,498.27046453584074,1940.1350934252553,1549.1498664740345,519.7098804617831,447.0442281787347,1042.407977420084,1007.0744170707584,1556.8065398004974,1477.3055225957926,1533.0004683803604,1607.8022393007323,1559.0863997436795,1455.23576559607,1578.606749562954,1455.7068061035407,1523.3203753713142,1523.6091962763835,1399.785494428945,1469.6700639013882,7893.125362874255,1320.4278052439868,1376.411445578427,7951.97414305996
tbar_double,1647114.4071068289,3205960.7201600983,3367479.7305072127,-396.9078985891266,80.79217644379578,-17.564335490488556,1456.3645562250479,1939.2369184629854,1538.9955852089608,1502.2766684329672,883.0746958507697,510.48534629468395,2060.326825249706,2057.6694736997033,2015.99715934513,508.99530068230405,1937.537464779587,1568.591860573565,520.9219780059958,439.15259838718544,1033.8440437606923,1000.3880746127559,1538.4413763484,1472.0222815778127,1523.2898179020033,1620.1635359710174,1573.916570313723,1466.8281617927166,1577.0017256456663,1450.0639782478754,1507.2467696064869,1540.2570168359014,1419.3033876198194,1462.4864601431125,7881.937756081264,1316.8742220835964,1357.6175271656607,7937.235709364502
tbar_double,1680745.8274424612,3205444.5646229144,3368829.691654385,-401.7023654386197,89.36950560430428,-18.11386383831271,1451.1860778046473,1936.6551096347366,1555.5786880558985,1504.002918601468,867.4042884852145,512.6569907307285,2057.731729134722,2051.7546609875562,2032.819530458287,509.3636772067992,1940.3059246985133,1584.2084415090158,530.9472872238789,425.4579914853774,1036.76035899224,1006.7230308496505,1552.6575926838707,1461.8621864172237,1516.4393044933597,1608.7840812769625,1589.5093036972792,1447.094301468165,1566.647434403373,1446.2506855166503,1513.005120525544,1557.6658343521417,1436.3419388739596,1466.4435682792382,7865.917060316958,1309.1692640608044,1343.2342511255727,7932.975981958251
