vehicle,drag_x,drag_y,drag_z,drag_cx,drag_cy,drag_cz,cylinder_0_LENGTH,fork_l_1_LENGTH,fork_r_1_LENGTH,tbar_post_2_LENGTH,tbar_post_3_LENGTH,tbar_cross_1_LENGTH,tbar_cross_2_LENGTH,post_l_1_LENGTH,tbar_cross_3_LENGTH,tbar_post_1_LENGTH,post_r_1_LENGTH,t_cross_mp_top_prop_DIAMETER,t_post_mp_bottom_prop_DIAMETER,fork_post_mp_1_prop_DIAMETER,t_cross_mp_bottom_prop_DIAMETER,fork_post_mp_2_prop_DIAMETER,tail_tbar_post_mp_prop_DIAMETER,t_post_mp_top_prop_DIAMETER,tail_tbar_cross_mp_prop_DIAMETER,right_wing_CHORD_1,right_wing_CHORD_2,right_wing_SPAN,left_wing_CHORD_1,left_wing_CHORD_2,left_wing_SPAN
tbar_single,1475085.5134381289,2801030.9211922823,2699387.397883494,-275.79123309280675,37.677275371717855,-12.914640727569818,1991.282757831273,1492.1953592810048,1556.84520760466,1952.8584268924005,2009.0481230359153,1025.9029716136622,988.2344075241972,433.0851650822562,976.6669494382475,1961.046684782559,478.2169474077893,1624.1345113334362,1507.8033361561752,1626.1835667469607,1547.697316962915,1573.3479815915807,1505.6312828242437,1570.7749418295014,1607.292955299305,1395.3433048359127,1417.0871647611627,8031.1451125234,1398.5011071356269,1357.4288723216962,7970.091545418814
tbar_single,1474986.1707711476,2803258.99676594,2705558.0800039214,-272.1198632947946,56.59332782914173,-12.494693332844673,1995.3535295426454,1509.6341811549664,1574.1642728668135,1949.5961319122414,2008.8029687169249,1028.345385629504,1000.206110959063,437.54223783540687,965.3593848406258,1949.8371173806895,460.47488246735,1609.429323411107,1488.755974067879,1616.4135562092908,1538.440970516329,1579.3289291214032,1490.2850564371781,1578.9820655211124,1621.2378533334954,1381.3364782689796,1408.632261548966,8039.826093549863,1380.4782402297903,1352.6229738804284,7964.802638210011
tbar_single,1478015.8055325497,2808881.7004816323,2712594.120162938,-272.68884333458226,66.74123165780097,-13.751999166871201,1999.5197362149158,1520.4881635511424,1585.5208461718921,1936.792956407603,2008.510610436008,1043.6085466523384,1018.8610010776288,442.10541629643933,963.5629507363906,1964.1142495764288,453.6470354803262,1608.130007721423,1468.8704542726975,1629.8329924132963,1522.2648456998415,1577.5894258608553,1483.6323724764975,1582.0334506173974,1602.6022425763401,1401.2774935885452,1389.328968342308,8052.037648157612,1365.9925986163066,1355.776448336698,7951.9527770942295
tbar_single,1469627.386004653,2804134.1701585655,2713539.895439038,-272.605574005708,71.80566943830509,-12.980865309089358,2004.2346256289873,1534.3717066760544,1568.4803141703155,1937.273145969923,2021.9277768084683,1037.2027351890665,1019.9856053121628,425.20328295592657,950.7863595805262,1974.093532239796,437.5733974643162,1611.3767113269791,1467.2758148221158,1645.0566643183565,1504.2655138240434,1576.591396789205,1486.8015018064737,1598.653824204002,1590.89588471142,1417.5499741774347,1376.124095363375,8068.9438803469275,1378.9913761911962,1367.370810474663,7932.627637616255
tbar_single,1473908.9004329094,2804097.7446586997,2710984.4998298152,-270.8142240621637,93.98508600406998,-14.27177671082066,2004.2924426410318,1529.5790493991635,1581.4975399543112,1940.3507831358863,2004.7841635421335,1028.335873029765,1025.2795602645574,419.75410734327806,946.1808661728891,1992.8387833172271,428.6648775392935,1622.4498618871569,1456.591189790728,1626.3780509574249,1510.753432166221,1572.3630730071204,1495.610738389666,1607.4869460446025,1604.100214049195,1410.5568165134787,1389.6892957369548,8071.407065636003,1360.1989561192383,1358.6148361080927,7930.894859251695
tbar_single,1475609.3253491474,2803177.487319607,2713662.780863864,-274.3480087766372,95.38306636828845,-13.640280311858325,2001.446647358835,1531.7294364385803,1571.5115749116087,1951.157242311244,2007.1601694959845,1033.2917722190068,1043.149826673784,414.4750612020781,946.0164299879298,1994.5657137451547,437.36171676641624,1630.4334595091857,1442.011567151271,1616.6212537171273,1512.8357519818335,1588.4731872749262,1499.3581129999657,1602.5491748955237,1619.073484148745,1425.2022166945249,1406.1551138508087,8089.394878491191,1377.6401348843067,1359.5834891540064,7946.875818347625
tbar_single,1478991.681024469,2807732.5850199126,2718648.525444909,-273.77494843586794,89.89151570379363,-13.948046969574271,2015.565173575453,1546.6201846611202,1566.81215959077,1949.8284946537133,2023.252410557155,1038.5197289143578,1040.8469625611003,422.8593636815539,934.9047036183064,1999.1191328240964,455.1616261465374,1613.9475000504267,1442.0229511483908,1625.2026339195413,1504.867843731423,1602.7101944535727,1514.825987160562,1597.8691939335909,1627.060604756931,1419.6994791205507,1390.628048601858,8088.762323301567,1367.7165962503127,1379.158407694456,7937.544239339455
tbar_single,1484612.1564831694,2809878.705916007,2720590.502169959,-275.640423752133,88.27805328582397,-15.238557161042037,2018.581569416325,1545.1153966213776,1570.3156239052514,1942.1581525379618,2018.5570762496084,1053.6773728908206,1049.3763540073278,435.30510807619504,949.8856443427528,2016.556640772414,474.87428915712275,1610.156693157651,1457.1561413358036,1623.8993330988812,1503.094885462667,1589.9158425604262,1514.3874824220127,1586.5535489880258,1636.1790286005269,1420.3655779713422,1394.9876130720984,8100.424080048661,1383.2925029344533,1361.5556785963252,7921.582130617596
tbar_single,1485009.480118824,2809210.5225194073,2719536.8914407347,-274.84678040796655,93.01021273943893,-14.881186057642362,2013.465281092173,1545.5728844764233,1577.0401255024613,1946.1556915532053,2035.5508503648487,1037.105178143574,1030.0584675945254,434.90774045323167,941.1728323952201,2013.6802961498122,483.19462480172564,1593.1995675534463,1471.3358902509187,1632.715569243627,1488.2786995828305,1605.8521219250943,1528.3168091694145,1594.5867200682874,1647.1984560839096,1428.2677129853464,1401.2138277779916,8102.877036943375,1384.5839538311589,1342.520206427619,7930.639387583215
tbar_single,1474285.392469495,2810532.372936918,2717525.4919187073,-273.1108268736458,68.07044179927863,-14.385485094252376,1996.958330714937,1545.2564168491963,1568.4423491559123,1926.575505815816,2044.3091170229338,1042.95399983361,1024.3927955888707,421.98400740077807,945.3283506627063,2026.4769392085418,466.756243964771,1579.1318095825754,1484.074124913521,1646.4809338060188,1479.6505148850972,1624.8334912049047,1512.459238565673,1611.656855399987,1652.0692396149343,1420.1955696724467,1382.746549347338,8114.219662327596,1398.096922082233,1348.0741341564117,7947.6850852700845
