subject,xmin,xmax,ymin,ymax,zmin,zmax,surface_area,cg_x,cg_y,cg_z,density,mass,volume,cg_inert_tensor_x,cg_inert_tensor_y,cg_inert_tensor_z,HORZ_DIAMETER,VERT_DIAMETER,TUBE_LENGTH
capsule,-320.00000000000034,319.9999999999997,-100.00000000000007,99.99999999999993,-60.81759249880181,60.81759249880181,247397.22539875057,-99.99999951312255,0.0,4.400018541031868,1.55e-06,0.5685338808893301,366796.0521866646,1342.7078110838843,5317.943655464258,5114.789578234882,100,120,200

capsule,-370.00000000000057,369.99999999999943,-99.99999999999997,100.00000000000003,-60.01970932054979,60.01970932054979,287900.8649582522,-124.99998825207996,0.0,4.440247613160168,1.55e-06,0.6607071091884967,426262.65108935273,1584.3583031185772,8028.413972880254,7791.267332501565,100,120,250

capsule,-420.0000000000002,419.9999999999997,-100.00000000000014,99.99999999999987,-60.13477996817169,60.13477996817169,328404.3319048521,-149.99997696292183,0.0,4.470697422405194,1.55e-06,0.7528821339934233,485730.40902801504,1826.010556997577,11564.776528429154,11293.639294399185,100,120,300

capsule,-470.0000000000006,469.9999999999993,-100.0,100.0,-61.16238299662994,61.16238299662994,368907.993180585,-174.99999064341023,0.0,4.494496195648367,1.55e-06,0.8450556413456274,545197.1879649209,2067.65900187472,16042.228395477328,15737.101652844736,100,120,350

capsule,-520.0000000000001,519.9999999999999,-100.00000000000026,99.99999999999976,-61.27901114186209,61.27901114186209,409411.6713128384,-200.00000283681996,0.0,4.513485283859684,1.55e-06,0.9372247160800812,604661.1071484395,2309.2973857631778,21575.93505806304,21236.814038301767,100,120,400

capsule,-570.0000000000002,569.9999999999998,-100.00000000000017,99.99999999999983,-61.39651520138579,61.39651520138579,449915.0751949533,-225.00000343264773,0.0,4.529321534622097,1.55e-06,1.0294053583876526,664132.4892823566,2550.9583864609617,28281.35625191749,27908.252129139903,100,120,450

capsule,-620.0,620.0,-100.00000000000009,99.99999999999991,-60.00994531921185,60.00994531921185,490419.0687605376,-250.00000366891138,0.0,4.542248360797859,1.55e-06,1.1215716241459446,723594.5962231901,2792.5897150288656,36273.246436460206,35866.14314234808,100,120,500

capsule,-669.9999999999999,670.0000000000001,-100.00000000000006,99.99999999999994,-60.12802774354202,60.12802774354202,530922.3845056866,-275.0000015434267,0.0,4.553428271601269,1.55e-06,1.2137485841475082,783063.6026758117,3034.2428082963106,45667.340440774096,45226.25106026331,100,120,550

capsule,-720.0000000000013,719.9999999999986,-99.99999999999993,100.00000000000007,-60.24637102065558,60.24637102065558,571426.1760863229,-299.99996338808313,0.0,4.562935650462749,1.55e-06,1.3059203064885883,842529.2299926376,3275.883453309628,56578.48261805621,56103.40120433336,100,120,600

capsule,-770.0000000000013,769.9999999999986,-99.99999999999993,100.00000000000007,-60.36475562871255,60.36475562871255,611929.8583355108,-324.9999635371427,0.0,4.5712820686731614,1.55e-06,1.3980956010755008,901997.1619841941,3517.531406983663,69122.1670041089,68613.09627567178,100,120,650

