subject,xmin,xmax,ymin,ymax,zmin,zmax,surface_area,cg_x,cg_y,cg_z,density,mass,volume,cg_inert_tensor_x,cg_inert_tensor_y,cg_inert_tensor_z,HORZ_DIAMETER,VERT_DIAMETER,FUSE_CYL_LENGTH,FLOOR_HEIGHT
capsule,-1347.9383333333358,1347.938333333331,-113.44000000000004,113.43999999999996,-246.91667291834162,246.91667291834162,2651002.8657713127,-427.3824993786243,0.0,2.6260920769012763,1.55e-06,6.160236166165504,3974345.9136551637,135719.13699486008,952336.4795539273,838048.4880115006,113.44,493.1733333333333,854.765,21.6705
capsule,-778.6216666666666,778.6216666666668,-168.90666666666698,168.90666666666635,-107.04626407259437,107.04626407259437,1006943.9520524769,-282.45749999565965,0.0,6.4649115451387,1.55e-06,2.3032480155930015,1485966.4616729042,18422.608388807508,122606.90400734279,118595.39431943934,168.90666666666667,213.70666666666668,564.915,20.4375
capsule,-946.3883333333312,946.3883333333354,-98.08000000000018,98.07999999999984,-274.9843549880571,274.9843549880571,1904570.203276642,-198.44749786475742,0.0,-2.8072010445065225,1.55e-06,4.390250164993283,2832419.4612859893,103500.08937886698,373478.3287168578,281007.1794504315,98.08,549.4933333333333,396.895,6.5055
capsule,-1297.7516666666675,1297.751666666666,-442.40000000000015,442.39999999999986,-333.43197582159684,333.43197582159684,4501894.733162125,-315.7825000214918,0.0,7.596646167370539,1.55e-06,10.45875493981055,6747583.832135839,678459.0202296954,1825267.745794382,1602683.4194154744,442.40000000000003,666.1866666666667,631.565,24.6675
capsule,-467.74833333333345,467.7483333333332,-562.0800000000004,562.0799999999995,-116.20436490933376,116.20436490933376,1300148.7889405487,-117.8475000017983,0.0,0.9401200056716028,1.55e-06,3.0069292576709135,1939954.359787686,96896.48239187771,76835.8411614895,136190.7590637427,562.0799999999999,232.0533333333333,235.695,7.1445
capsule,-1226.0216666666697,1226.0216666666638,-105.76000000000045,105.75999999999954,-152.9109383278165,152.9109383278165,1587207.5539557822,-460.39749961477577,0.0,-0.7484522930482616,1.55e-06,3.6815030051117414,2375163.2291043494,35897.21959419781,460886.2428838635,436151.64601574594,105.75999999999999,305.2266666666667,920.7950000000001,6.7844999999999995
capsule,-647.4883333333336,647.4883333333331,-394.1866666666666,394.1866666666667,-55.729085601657474,55.729085601657474,1321975.4532919591,-268.1974902586177,0.0,5.46186469063824,1.55e-06,3.0012060737608435,1936261.9830715118,41750.89190137094,110906.42555392355,142696.95969670874,394.18666666666667,111.09333333333333,536.395,11.662500000000001
capsule,-921.6016666666673,921.6016666666658,-347.0400000000003,347.0399999999997,-113.17122975859236,113.17122975859236,1975479.6111470999,-347.86750001466373,0.0,10.177322225831299,1.55e-06,4.501222950465047,2904014.8067516433,77473.09797179759,343722.6233195583,366622.5950174359,347.04,225.86666666666667,695.7349999999999,28.0605
capsule,-1157.4283333333335,1157.428333333333,-440.05333333333357,440.0533333333333,-179.42387067688537,179.42387067688537,2998047.0370342685,-399.32749998486196,0.0,3.7116739149668647,1.55e-06,6.942166305824105,4478816.971499423,241887.01062808157,880658.194098969,914284.0407804475,440.05333333333334,358.7733333333333,798.655,11.3115
capsule,-1684.9083333333347,1684.908333333332,-292.0000000000007,291.9999999999993,-346.2053894119843,346.2053894119843,5232366.530546996,-496.66749969713777,0.0,6.88756351759304,1.55e-06,12.158270384595616,7844045.409416527,664164.5521795526,3148369.508095258,2746621.550009825,292.0,691.5733333333334,993.335,28.240499999999997
capsule,-918.5016666666654,918.5016666666678,-123.68000000000008,123.67999999999995,-73.47645907823008,73.47645907823008,891393.3547584577,-385.9975000115603,0.0,5.768055739041976,1.55e-06,2.0259951289367018,1307093.6315720656,7901.7299477365505,143057.17818891056,141876.00524032672,123.68,146.50666666666666,771.995,25.0365
capsule,-1534.8649999999998,1534.8650000000002,-440.9066666666672,440.90666666666607,-314.7106279897658,314.7106279897658,5233339.071482622,-453.1125000255241,0.0,9.57218434152021,1.55e-06,12.150188024154051,7838830.983325195,757478.8940209874,2750217.1913939654,2528271.5274407514,440.90666666666664,628.64,906.225,27.3315
capsule,-701.2483333333336,701.2483333333331,-150.13333333333347,150.13333333333318,-211.5661083327766,211.5661083327766,1227037.7094844484,-139.23750003049764,0.0,3.537817507710291,1.55e-06,2.850490241441384,1839025.9622202478,50113.41083512873,143360.00390763886,108651.45482669497,150.13333333333333,422.7733333333333,278.475,20.2035
capsule,-979.485000000001,979.484999999999,-666.4000000000002,666.3999999999997,-197.80825085305415,197.80825085305415,3661554.247816345,-292.222499966333,0.0,10.68738884919843,1.55e-06,8.467434844544876,5462861.190028952,491304.93837784475,842970.4932054988,1018348.3732000655,666.4,395.03999999999996,584.445,22.5345
capsule,-1034.6716666666678,1034.6716666666655,-523.4666666666669,523.4666666666665,-161.32733781893236,161.32733781893236,2966442.533764614,-356.0825000204735,0.0,5.4936198688950535,1.55e-06,6.850479145459698,4419663.964812708,264049.2008645621,708152.6279946932,797354.8298308747,523.4666666666667,322.50666666666666,712.165,12.7425
capsule,-1388.3083333333373,1388.3083333333293,-169.75999999999988,169.7600000000001,-332.37168147519765,332.37168147519765,3664320.441755799,-362.12748561611676,0.0,3.9976705663335217,1.55e-06,8.517697415103921,5495288.654905756,342183.9476320917,1496930.3097137376,1219379.6806749045,169.76,664.0533333333333,724.255,27.970499999999998
capsule,-1028.6550000000004,1028.6549999999995,-100.85333333333382,100.85333333333283,-185.9320375449076,185.9320375449076,1570989.0239798052,-328.6474998894671,0.0,3.4857641170902043,1.55e-06,3.6478560873925474,2353455.5402532564,47854.72748919863,329651.9624926315,291538.8050605971,100.85333333333334,371.36,657.295,23.3175
capsule,-887.6850000000005,887.6849999999994,-173.17333333333366,173.17333333333303,-316.1499323764336,316.1499323764336,2129373.8353142873,-127.92250001779745,0.0,0.6647653711778827,1.55e-06,4.951203732830565,3194324.988922945,168908.72270148702,423856.8475025213,291128.1481309225,173.17333333333335,631.8399999999999,255.845,13.867500000000001
capsule,-1246.0316666666683,1246.0316666666652,-289.8666666666666,289.86666666666673,-309.4092103301853,309.4092103301853,3366710.7470623674,-313.92250027171275,0.0,-7.362710426916787,1.55e-06,7.801110347510723,5032974.417748854,336020.19381124864,1190373.6902653743,1019412.4205272949,289.8666666666667,618.1866666666666,627.845,6.0465
capsule,-934.5449999999997,934.5450000000004,-279.62666666666684,279.6266666666665,-83.6700091044693,83.6700091044693,1493747.8782788112,-383.6724999943884,0.0,5.6046690863623105,1.55e-06,3.369243753529755,2173705.6474385518,36782.54773027315,257466.12877799943,270110.21114551596,279.62666666666667,167.2,767.345,11.7255
