vehicle,drag_x,drag_y,drag_z,drag_cx,drag_cy,drag_cz,capsule_fuselage_VERT_DIAMETER
capsule,16066.161399465029,16066.161399465029,16066.161399465029,50.0,1.2489508505745976e-15,-43.099999999999994,45.495477700695105
capsule,2302.303802691516,16833.103541503857,16833.103541503857,50.00000000000001,5.086810258803235e-16,-43.1,30.330800233002094
capsule,2276.194597184155,21089.44416821458,21089.44416821458,49.99999999999999,-1.8097538433832226e-16,-43.100000000000016,14.631378948926821
capsule,2230.2950565791452,23878.53894660221,23878.53894660221,49.99999999999999,-1.8116717677116563e-15,-43.1,9.398644406856256
capsule,25135.020640469724,25135.020640469724,25135.020640469724,49.999999999999986,6.265387375986567e-16,-43.09999999999999,4.435013987859005
capsule,2216.386464206355,29531.480824552204,29531.480824552204,50.0,-8.757436442840765e-16,-43.10000000000001,-2.0539762865186413
capsule,32883.36788868663,32883.36788868663,32883.36788868663,49.99999999999999,4.654494112708948e-16,-43.099999999999994,12.239155548150666
capsule,2314.4479787560344,27500.62994963859,27500.62994963859,50.0,-3.170987809312125e-16,-43.1,15.54430717190148
capsule,2320.591795778306,23250.453399791404,23250.453399791404,50.0,-6.24550135400522e-17,-43.1,1.8011039408033476
capsule,2313.862740271329,20268.43228840392,20268.43228840392,50.0,5.894887604112589e-16,-43.1,-8.188807614299128
capsule,2299.745099526409,19644.32439645689,19644.32439645689,49.99999999999999,-1.3380847054629971e-16,-43.099999999999994,1.9590232210283158
capsule,2384.2469730533085,16316.619242577226,16316.619242577226,50.000000000000014,1.1707521053663227e-15,-43.1,8.175951866476035
capsule,2327.022066238944,20698.37505890143,20698.37505890143,49.99999999999999,-1.3657580892489045e-16,-43.099999999999994,-4.901099024021127
capsule,17296.436535720673,17296.436535720673,17296.436535720673,50.0,7.162018089297793e-16,-43.10000000000001,-19.671126435690446
capsule,2364.91625652855,16031.833928459066,16031.833928459066,50.00000000000001,9.767520416190565e-16,-43.099999999999994,-21.97675111576088
capsule,2342.1180029671914,18694.9243100457,18694.9243100457,49.999999999999986,-1.486371443817728e-15,-43.099999999999994,-32.71059085432476
capsule,2359.5664555552585,15116.892559904587,15116.892559904587,50.0,1.562010481626039e-15,-43.099999999999994,-40.63585565508849
capsule,2402.414671948897,16999.999561400935,16999.999561400935,50.0,-2.7049139374619185e-17,-43.10000000000001,-30.632843734619797
capsule,2381.726729279843,18809.184512692667,18809.184512692667,50.00000000000001,-3.0614462292989886e-16,-43.1,-36.92351801194755
capsule,24061.22424524978,24061.22424524978,24061.22424524978,50.000000000000014,2.1699940913527427e-15,-43.1,-35.63167980019173
capsule,2391.927093813203,27387.686707975598,27387.686707975598,49.99999999999999,-1.3283261228238723e-16,-43.099999999999994,-51.39314478606895
capsule,2442.5365307701795,22785.958004852055,22785.958004852055,50.0,1.1381094273927388e-15,-43.1,-32.20357582119978
capsule,24994.526622951194,24994.526622951194,24994.526622951194,49.99999999999998,1.3125212560752403e-15,-43.099999999999994,-27.286721246752492
capsule,2411.746374288641,24072.238179636133,24072.238179636133,50.0,1.872404342634701e-15,-43.1,-38.228656573584885
capsule,2457.9918980948664,28152.98353414061,28152.98353414061,50.00000000000001,1.4436529841453742e-16,-43.1,-36.68188515515614
capsule,2477.8680404995343,24071.216133061014,24071.216133061014,50.0,-1.4901749029706798e-15,-43.1,-35.04272435175336
capsule,2495.127897655735,23721.05509584148,23721.05509584148,50.00000000000001,9.008857210080194e-16,-43.099999999999994,-41.41677687064411
capsule,2582.044213243495,19612.595459281216,19612.595459281216,50.00000000000001,-2.3914605788986124e-15,-43.1,-27.81447614140213
capsule,2685.159203897311,15881.328362223425,15881.328362223425,50.0,1.37046329668758e-15,-43.1,-12.583980633782454
capsule,2651.364537852762,15584.54645517207,15584.54645517207,49.99999999999999,7.051033104260972e-16,-43.10000000000001,-10.964327149244056
capsule,2565.5169382843083,16336.823318288902,16336.823318288902,49.99999999999999,1.0823470890055569e-15,-43.1,-7.609397265682621
capsule,2714.874182478409,13531.016705827484,13531.016705827484,49.99999999999999,6.690211117025015e-16,-43.1,1.5129981284233525
capsule,2665.028421905269,13052.435277039636,13052.435277039636,49.99999999999999,9.258841328256106e-16,-43.099999999999994,-14.880330534872595
capsule,2635.7546646917476,13721.517237040254,13721.517237040254,49.999999999999986,1.0134107919803285e-15,-43.1,-12.690288139315097
capsule,2820.2032024604932,12088.033347170616,12088.033347170616,49.99999999999999,1.2556920209840509e-15,-43.10000000000001,4.433827656084819
capsule,2761.336370011555,10821.467012773988,10821.467012773988,50.00000000000001,8.875672467703317e-16,-43.10000000000001,-13.813467630038453
capsule,2702.7204418690894,14057.37572646761,14057.37572646761,49.99999999999999,1.579029304648162e-15,-43.099999999999994,-29.085746142620952
capsule,14781.635122982707,14781.635122982707,14781.635122982707,50.0,2.793942486128902e-16,-43.10000000000001,-42.761350037494594
capsule,2445.114133001882,18316.938932856923,18316.938932856923,50.00000000000001,-9.992842978568777e-16,-43.1,-46.55664584571811
capsule,15007.680477667376,15007.680477667376,15007.680477667376,50.0,3.745534156875313e-16,-43.100000000000016,-28.63386480297357
capsule,2645.2238644147697,15482.960701850283,15482.960701850283,49.99999999999999,-2.7888928237430183e-16,-43.099999999999994,-25.776527887710113
capsule,2568.8032371838462,15883.780465426657,15883.780465426657,50.00000000000001,-2.261902804855531e-16,-43.10000000000001,-42.40305487017869
capsule,2431.5777787917123,17562.995437318372,17562.995437318372,49.999999999999986,-3.793745435738198e-16,-43.1,-62.16390454443988
capsule,2472.8405381410016,15502.507714696954,15502.507714696954,50.0,6.558585823294509e-16,-43.10000000000001,-46.87973550120196
capsule,2494.264216232062,11616.44969953509,11616.44969953509,50.0,5.127882592221602e-16,-43.099999999999994,-41.29481133522039
capsule,2445.7795319895686,15035.426215845895,15035.426215845895,49.99999999999999,2.1613138139534634e-16,-43.1,-32.73219196756343
capsule,2574.3051495025256,12930.045208992557,12930.045208992557,50.0,1.4463842270712759e-15,-43.10000000000001,-14.733000255337306
capsule,10763.582708847933,10763.582708847933,10763.582708847933,50.0,3.0975375718185863e-16,-43.10000000000001,-31.88760924404245
capsule,2629.534020336325,8203.379765721233,8203.379765721233,50.00000000000001,-2.0524177737303117e-16,-43.10000000000001,-47.56370547173151
capsule,2715.3895638743347,6235.54391147908,6235.54391147908,49.99999999999999,2.097080676106301e-16,-43.1,-33.807806295848664
