vehicle,drag_x,drag_y,drag_z,drag_cx,drag_cy,drag_cz,capsule_fuselage_VERT_DIAMETER
capsule,2475.5975058666154,15830.421248799423,15830.421248799423,50.0,-2.556450063456823e-16,-43.099999999999994,182.63697727084448
capsule,2566.593284857884,12567.235327078946,12567.235327078946,49.999999999999986,1.9189804767169808e-15,-43.09999999999998,191.80382778581702
capsule,2561.50778570558,9565.260795436812,9565.260795436812,50.00000000000001,-4.0012418208264463e-16,-43.099999999999994,182.08694029516798
capsule,8836.118377305995,8836.118377305995,8836.118377305995,50.000000000000014,7.559948841155237e-16,-43.10000000000001,193.69505426229418
capsule,2470.1241399811147,9897.473601791024,9897.473601791024,50.0,-8.845097431842934e-16,-43.1,173.81347452703164
capsule,9266.476147384046,9266.476147384046,9266.476147384046,50.00000000000001,1.1480300828979815e-15,-43.09999999999999,155.66524765031178
capsule,9026.53583947837,9026.53583947837,9026.53583947837,50.00000000000001,1.4001423787285795e-15,-43.100000000000016,165.67705856680647
capsule,2362.3952481346096,10004.126173309567,10004.126173309567,50.000000000000014,1.0787307706048198e-15,-43.10000000000001,153.59342449345252
capsule,2402.8891345703605,12313.218116867252,12313.218116867252,50.00000000000001,-5.324225826790307e-16,-43.100000000000016,173.4527226523054
capsule,2460.4943032767105,9258.854280342059,9258.854280342059,50.0,-1.2667011019437764e-15,-43.1,176.4604534792279
capsule,10736.454161141224,10736.454161141224,10736.454161141224,50.00000000000002,-1.1705184253245656e-15,-43.10000000000001,177.50878668129826
capsule,2491.3922843477485,11208.023691950677,11208.023691950677,50.00000000000001,1.807323560029945e-15,-43.1,174.43966732618674
capsule,2517.1730300335144,8800.547999428814,8800.547999428814,49.99999999999999,1.5112996935177451e-15,-43.10000000000001,180.45141744048146
capsule,11775.16203480649,11775.16203480649,11775.16203480649,49.99999999999999,1.458087229807237e-15,-43.10000000000001,184.50321511624585
capsule,2439.819550256811,11038.615690189814,11038.615690189814,49.99999999999998,7.796758905742369e-16,-43.09999999999999,181.51677709663193
capsule,8768.429785564536,8768.429785564536,8768.429785564536,50.00000000000001,-8.025958733863324e-17,-43.10000000000001,169.65723280552004
capsule,2439.5191915286027,10310.993909441879,10310.993909441879,49.999999999999986,7.562805351841459e-17,-43.10000000000001,161.30049497462218
capsule,2388.657746590785,12934.56579380847,12934.56579380847,49.99999999999999,-4.604110914480637e-16,-43.10000000000001,162.6552145647229
capsule,2396.040724042799,16359.06884620101,16359.06884620101,50.00000000000001,-7.340933052816486e-16,-43.1,172.87350444758985
capsule,2347.282262862027,21791.15685219288,21791.15685219288,50.00000000000001,9.128778148144342e-16,-43.10000000000001,182.55380579304492
