vehicle,drag_x,drag_y,drag_z,drag_cx,drag_cy,drag_cz,capsule_fuselage_TUBE_LENGTH
capsule,5870.793716555142,5870.793716555142,5870.793716555142,50.000000000000014,-3.2640449625950826e-16,-43.1,52.740086535667665
capsule,2656.3388131408724,7420.93929895336,7420.93929895336,49.99999999999999,5.640047796483167e-16,-43.1,69.52252514132113
capsule,7598.677412293605,7598.677412293605,7598.677412293605,50.00000000000001,3.9633884250136503e-16,-43.100000000000016,71.18358308659658
capsule,2688.7725036521533,6735.762430712813,6735.762430712813,49.99999999999999,9.690060738562377e-16,-43.10000000000001,62.67173120411425
capsule,2758.994341011618,5649.969616910447,5649.969616910447,50.00000000000001,4.024251093659208e-16,-43.09999999999999,49.906681120689825
capsule,2674.1635289222854,7026.521435532888,7026.521435532888,50.0,-7.718277913338989e-16,-43.10000000000001,65.6719516464037
capsule,2785.4898958064023,5341.362589308641,5341.362589308641,50.0,2.3024746616533235e-16,-43.10000000000001,45.69011920465108
capsule,6814.073828086204,6814.073828086204,6814.073828086204,50.00000000000001,-1.656845137523995e-16,-43.1,63.49437214985673
capsule,2675.140650326854,7006.2088322788195,7006.2088322788195,49.999999999999986,-5.18597071350801e-16,-43.10000000000001,65.46704804302301
capsule,2656.6132594397136,7414.504516907615,7414.504516907615,50.0,-9.637800809589696e-17,-43.1,69.46156426094034
capsule,9074.18997993491,9074.18997993491,9074.18997993491,50.0,-1.8315678955754898e-16,-43.1,83.54518513257395
capsule,7950.968866297512,7950.968866297512,7950.968866297512,50.0,-9.646803989390196e-17,-43.1,74.35364688869385
capsule,2575.0423337867483,10013.342595814478,10013.342595814478,50.00000000000001,7.724889951579747e-16,-43.099999999999994,90.37639719695272
capsule,12418.141543604825,12418.141543604825,12418.141543604825,50.0,1.7608461091147092e-15,-43.099999999999994,105.36704328025826
capsule,2511.467317110304,13654.41890502362,13654.41890502362,50.00000000000001,1.177946248735709e-15,-43.100000000000016,112.04128431926343
capsule,2530.2675485166524,12350.751259737794,12350.751259737794,49.99999999999999,1.2844366112158619e-15,-43.10000000000001,104.9858822300972
capsule,2513.124802651574,13529.688434847418,13529.688434847418,49.999999999999986,6.524962402651119e-16,-43.10000000000001,111.39354987986826
capsule,2550.0997722368375,11202.076646704703,11202.076646704703,50.0,1.2664439210519427e-15,-43.1,98.17069240476177
capsule,13278.144477917176,13278.144477917176,13278.144477917176,50.00000000000001,1.172970338007523e-15,-43.099999999999994,110.07056713556301
capsule,2531.926358689672,12246.516074467912,12246.516074467912,50.000000000000014,1.6123815407414104e-15,-43.100000000000016,104.3925042289983
capsule,15282.431076730445,15282.431076730445,15282.431076730445,50.0,1.2428615577521225e-15,-43.10000000000001,120.04008895053467
capsule,15959.28339934538,15959.28339934538,15959.28339934538,49.99999999999999,2.360944246613453e-15,-43.1,123.14373385251474
capsule,17629.74454430881,17629.74454430881,17629.74454430881,50.00000000000001,1.166696988616499e-15,-43.100000000000016,130.33573726440378
capsule,15086.308660740735,15086.308660740735,15086.308660740735,50.00000000000001,6.904708724685824e-16,-43.10000000000001,119.11804421925339
capsule,2499.6374393352166,14607.627811433229,14607.627811433229,49.99999999999999,-3.438343352137121e-16,-43.1,116.82196657643627
capsule,2500.3685990995937,14545.318734025836,14545.318734025836,50.00000000000001,4.924726173127851e-17,-43.10000000000001,116.51816279173912
capsule,16051.36479632428,16051.36479632428,16051.36479632428,50.00000000000001,1.4087329297117108e-15,-43.10000000000001,123.55695220788166
capsule,2503.603193561563,14275.22946962147,14275.22946962147,50.00000000000001,1.6771425375508387e-15,-43.10000000000001,115.18763480712484
capsule,2529.465457796684,12401.732964105582,12401.732964105582,49.99999999999999,1.3717614192184086e-15,-43.10000000000001,105.27441303301558
capsule,2519.06987069828,13098.644919774622,13098.644919774622,50.00000000000002,1.5426338727814909e-15,-43.100000000000016,109.11244059947371
capsule,2499.8980564343697,14585.364059943604,14585.364059943604,50.00000000000001,5.653954210648109e-16,-43.1,116.7135474132879
capsule,2482.026402167801,16263.903775918774,16263.903775918774,50.0,1.6899269052134324e-15,-43.1,124.50283078171665
capsule,2513.9340842954066,13469.525842114797,13469.525842114797,50.0,4.132692033840109e-16,-43.10000000000001,111.07917865576918
capsule,2514.635753135892,13417.7497808367,13417.7497808367,49.999999999999986,5.696378407417515e-16,-43.09999999999999,110.80760535814424
capsule,2533.459450514331,12151.596056799906,12151.596056799906,49.99999999999999,1.4182305291098946e-15,-43.099999999999994,103.84805251069892
capsule,2579.190877075129,9838.51439610725,9838.51439610725,49.99999999999999,1.0727066501177505e-15,-43.099999999999994,89.15454594572542
capsule,2537.1781085125795,11926.84847214131,11926.84847214131,50.0,6.901610611193999e-16,-43.10000000000001,102.54293234846884
capsule,2535.0719507281497,12053.197707135476,12053.197707135476,50.00000000000001,9.90819021460923e-16,-43.10000000000001,103.27944792180057
capsule,2587.6832471663633,9498.341939977705,9498.341939977705,49.99999999999999,-3.9704278087768534e-16,-43.099999999999994,86.71408829196508
capsule,2547.0775037318535,11364.195489843383,11364.195489843383,50.00000000000001,1.909426739174375e-15,-43.10000000000001,99.1714483079936
capsule,9505.810793831637,9505.810793831637,9505.810793831637,50.00000000000001,6.613222191235879e-16,-43.10000000000001,86.76860225650665
capsule,7914.87558997217,7914.87558997217,7914.87558997217,50.0,-3.8752804107299876e-16,-43.100000000000016,74.03593870993696
capsule,2631.874574822191,8046.112450903316,8046.112450903316,50.0,3.8161166349570566e-17,-43.10000000000001,75.1837667497952
capsule,2654.727919788689,7458.95036405751,7458.95036405751,50.0,-1.0058888495142321e-15,-43.1,69.88143437740581
capsule,6755.615410141053,6755.615410141053,6755.615410141053,50.00000000000001,8.136853349237155e-16,-43.100000000000016,62.8813357785885
capsule,8217.864095925244,8217.864095925244,8217.864095925244,49.99999999999999,-4.491387246811186e-16,-43.10000000000001,76.65605494418045
capsule,10663.698645689206,10663.698645689206,10663.698645689206,49.999999999999986,-8.88281596415032e-16,-43.1,94.74503777288774
capsule,2587.6448063048833,9499.830465194531,9499.830465194531,50.0,8.93234307322068e-16,-43.09999999999999,86.7249562266055
capsule,2552.8967287200994,11055.825120861055,11055.825120861055,49.99999999999999,7.965135549104803e-16,-43.099999999999994,97.25597979473807
capsule,2508.3604915573196,13893.827829626158,13893.827829626158,50.00000000000001,1.3087074321125322e-15,-43.100000000000016,113.26965948625886
capsule,14874.522612290752,14874.522612290752,14874.522612290752,50.0,7.77334405671395e-16,-43.10000000000001,118.11030964458755
capsule,2514.3418465436985,13439.393657130222,13439.393657130222,50.0,1.9916898195555197e-15,-43.10000000000001,110.92124663177889
capsule,2522.332983626763,12872.41209522704,12872.41209522704,50.00000000000001,1.2853488249704231e-15,-43.1,107.88758279161526
capsule,2479.446165839956,16534.348349046588,16534.348349046588,50.00000000000001,6.924081331981918e-16,-43.1,125.69085985897654
capsule,2491.486407155254,15335.49768572088,15335.49768572088,49.99999999999999,1.780947075145068e-15,-43.10000000000001,120.28776906173728
capsule,2542.437151700358,11621.718843550521,11621.718843550521,50.0,1.462078337227234e-15,-43.1,100.73364382006471
capsule,2513.254287235901,13520.03016744812,13520.03016744812,49.99999999999999,1.3313510673446788e-15,-43.099999999999994,111.3431677327413
capsule,10599.625703239984,10599.625703239984,10599.625703239984,50.0,-4.968069402558503e-16,-43.10000000000001,94.32631998805937
capsule,2511.405942432192,13659.076971548255,13659.076971548255,50.0,-1.706801566006142e-16,-43.10000000000001,112.06536978753167
capsule,2568.18984070614,10315.46148596227,10315.46148596227,49.99999999999999,5.27640810301347e-16,-43.099999999999994,92.43921803070901
capsule,11369.867344535307,11369.867344535307,11369.867344535307,50.000000000000014,9.54378796493145e-16,-43.100000000000016,99.2062144809461
capsule,12336.781841746668,12336.781841746668,12336.781841746668,50.00000000000001,1.5133159869362226e-15,-43.100000000000016,104.90662938121484
capsule,2506.4648467992824,14043.608938741607,14043.608938741607,50.00000000000001,1.1154826558986753e-15,-43.10000000000001,114.02846667187522
capsule,2465.888740601749,18093.728675524213,18093.728675524213,50.0,4.701259811289808e-16,-43.1,132.22804270772787
capsule,2462.823611642194,18481.96142183547,18481.96142183547,50.0,4.217808554997032e-16,-43.099999999999994,133.77951397161635
capsule,2486.4446549815143,15818.377503039674,15818.377503039674,50.0,1.1319581848343496e-15,-43.1,122.50733253931575
capsule,13635.514161126603,13635.514161126603,13635.514161126603,50.00000000000001,9.226766001976718e-16,-43.10000000000001,111.94345694690514
capsule,14977.273385118197,14977.273385118197,14977.273385118197,49.99999999999999,1.782087748031592e-15,-43.099999999999994,118.60080991519914
capsule,2485.463410629636,15915.465211211122,15915.465211211122,50.00000000000001,1.6335336351304661e-16,-43.1,122.94636104312409
capsule,16903.658492313814,16903.658492313814,16903.658492313814,50.0,1.502704843880952e-15,-43.1,127.28603985492282
capsule,2469.5846977942347,17644.021639652874,17644.021639652874,50.000000000000014,-1.100160650161422e-16,-43.10000000000001,130.3946032475019
capsule,2459.9681256455215,18856.78574825957,18856.78574825957,49.99999999999999,9.475205133114083e-16,-43.1,135.25104923224043
capsule,2439.7304181429113,21937.21372400905,21937.21372400905,50.0,1.6975025829446066e-16,-43.1,146.48304853333798
capsule,19376.92500431802,19376.92500431802,19376.92500431802,49.99999999999999,-2.22974610039607e-16,-43.10000000000001,137.25211035601984
capsule,2430.622322351256,23618.68841524601,23618.68841524601,50.0,3.7106715157468036e-16,-43.1,152.0631443980746
capsule,2455.229296751328,19508.539961930604,19508.539961930604,49.99999999999999,1.3607715959713934e-15,-43.1,137.75117163702814
capsule,2468.5265295764716,17770.779756809832,17770.779756809832,50.00000000000001,1.2418882395524321e-15,-43.1,130.91544083688845
capsule,2433.060057489375,23147.495429308383,23147.495429308383,49.99999999999999,1.3278120691861164e-15,-43.1,150.53383982276364
capsule,2436.727080250795,22468.381881375324,22468.381881375324,50.0,2.7281767618402585e-15,-43.10000000000001,148.28332901659977
capsule,2449.0263512440106,20422.348271586634,20422.348271586634,50.00000000000001,-1.409418537078022e-15,-43.10000000000001,141.13925520431917
capsule,2435.316940410675,22725.44090443382,22725.44090443382,50.0,1.89167750394182e-15,-43.1,149.14180068670484
capsule,2457.807737089836,19149.183433326678,19149.183433326678,50.00000000000001,4.908699926023708e-16,-43.1,136.38167546569727
capsule,2496.590537459263,14872.440630765006,14872.440630765006,50.000000000000014,8.664771139416293e-16,-43.10000000000001,118.10033973245416
capsule,2482.4654235610683,16218.656492409653,16218.656492409653,49.99999999999999,1.0386729037928137e-15,-43.1,124.3023764904479
capsule,2486.418888683827,15820.9136373181,15820.9136373181,50.0,1.803157243639449e-15,-43.100000000000016,122.51883104937649
capsule,18317.730862817083,18317.730862817083,18317.730862817083,49.99999999999999,5.387914246485583e-16,-43.100000000000016,133.1266654623214
capsule,17834.232166135636,17834.232166135636,17834.232166135636,50.0,7.072049215289534e-16,-43.099999999999994,131.174955476726
capsule,22731.316124123416,22731.316124123416,22731.316124123416,49.99999999999999,2.019662411899814e-15,-43.1,149.16132634160238
capsule,23053.4402505823,23053.4402505823,23053.4402505823,49.999999999999986,5.856912309492572e-16,-43.09999999999999,150.22546988738242
capsule,2448.321526117978,20530.841277395415,20530.841277395415,50.000000000000014,4.3921824493113756e-16,-43.1,141.53291450923595
capsule,2420.687491856307,25720.894293473164,25720.894293473164,50.0,8.442505963952972e-16,-43.10000000000001,158.59194488646898
capsule,2446.722072964439,20780.75305280875,20780.75305280875,50.00000000000001,5.84161543718517e-16,-43.1,142.4330436618978
capsule,2459.628225687267,18902.277021009442,18902.277021009442,49.99999999999999,6.426249825608131e-16,-43.10000000000001,135.42793386000008
capsule,2480.3196914388236,16441.91719633801,16441.91719633801,50.0,1.3663827107403562e-15,-43.1,125.28674850370135
capsule,2466.966719474443,17960.53103459179,17960.53103459179,49.99999999999999,9.223127686533153e-16,-43.1,131.6891411674677
capsule,2502.844777224863,14337.755289634631,14337.755289634631,49.99999999999999,7.53516399653081e-16,-43.1,115.4976503166989
capsule,15736.431221229439,15736.431221229439,15736.431221229439,49.999999999999986,9.553102576123883e-16,-43.1,122.13492082367544
capsule,2527.544467136741,12525.399895448569,12525.399895448569,50.0,5.053945241763857e-16,-43.10000000000001,105.96976235315333
capsule,2479.636473514006,16514.134033851507,16514.134033851507,49.99999999999999,1.423859916664082e-15,-43.10000000000001,125.60265156228958
capsule,2517.1268958245223,13236.777614770117,13236.777614770117,49.999999999999986,3.7436017147427316e-16,-43.1,109.8508150518775
capsule,2528.9199953039642,12436.622006259244,12436.622006259244,50.000000000000014,3.082970402311469e-16,-43.1,105.47123399514781
capsule,2493.104547858041,15185.976922146127,15185.976922146127,50.0,-3.9985918046098495e-17,-43.10000000000001,119.58794370302033
capsule,15761.494073006792,15761.494073006792,15761.494073006792,50.000000000000014,8.370722021139168e-16,-43.1,122.2490022586804
capsule,2503.76479166982,14261.969404421452,14261.969404421452,50.00000000000001,1.030122411894291e-15,-43.10000000000001,115.12173193469708
capsule,2512.4790091576383,13578.043077440709,13578.043077440709,49.99999999999999,5.567976271663836e-16,-43.1,111.64530033487266
capsule,2510.4818882936593,13729.553145021084,13729.553145021084,50.0,1.275962350914748e-15,-43.100000000000016,112.42887486724688
capsule,17764.754569050125,17764.754569050125,17764.754569050125,49.999999999999986,-6.941272468065956e-16,-43.099999999999994,130.8907567394666
capsule,2499.2698865297584,14639.12912968728,14639.12912968728,50.00000000000001,1.136438068331871e-15,-43.1,116.97511814768667
capsule,2524.1765751278303,12747.687745679448,12747.687745679448,50.00000000000001,1.2043368188755795e-15,-43.1,107.2038223146107
capsule,2542.793192872292,11601.579694492733,11601.579694492733,50.0,2.5569610565275753e-15,-43.1,100.61266020276823
capsule,2607.3172771110494,8793.390405443199,8793.390405443199,50.0,5.994685660097753e-16,-43.1,81.36323849306027
capsule,2688.471808849471,6741.477825107432,6741.477825107432,50.0,9.75695460241065e-16,-43.100000000000016,62.732147541581
capsule,2651.4856435870747,7536.725766649277,7536.725766649277,49.99999999999999,-1.6253331111392672e-16,-43.1,70.60953130315959
capsule,2659.928685201835,7337.7012981588505,7337.7012981588505,49.999999999999986,3.687465440534597e-16,-43.10000000000001,68.72937280258529
capsule,2701.8296603341955,6497.696038192342,6497.696038192342,49.99999999999999,1.320772955606206e-15,-43.1,60.09998868629154
capsule,2817.280841984171,5024.340983527949,5024.340983527949,50.000000000000014,-1.5165652999651345e-16,-43.10000000000001,40.98988570565632
capsule,2838.1244225346954,4842.861364073955,4842.861364073955,50.00000000000001,2.0709191614723943e-16,-43.099999999999994,38.099148332460615
capsule,2830.716327155675,4905.198896262557,4905.198896262557,50.000000000000014,-1.4060533033301298e-16,-43.10000000000001,39.11024397594147
capsule,4680.2043856358605,4680.2043856358605,4680.2043856358605,50.00000000000002,-6.760974216898291e-18,-43.10000000000001,35.36349616789616
capsule,2832.804920760892,4887.390390607358,4887.390390607358,49.99999999999999,4.249325799674546e-16,-43.1,38.82339716617971
capsule,5739.488091874732,5739.488091874732,5739.488091874732,49.99999999999999,1.2452586188282318e-15,-43.1,51.072433841448536
capsule,2756.8123412199357,5677.44988815802,5677.44988815802,49.999999999999986,1.0273874647974083e-15,-43.1,50.26711528474424
capsule,2875.819793157357,4558.361248074809,4558.361248074809,50.0,6.190883394333638e-16,-43.1,33.213167927737985
capsule,2836.1068890018532,4859.61156838531,4859.61156838531,50.0,5.607687543833474e-17,-43.09999999999999,38.37277229650485
capsule,6218.997791242509,6218.997791242509,6218.997791242509,50.0,3.6950255204144124e-16,-43.10000000000001,56.94160496343763
capsule,2830.075315505295,4910.701915495468,4910.701915495468,49.999999999999986,3.4157206140352433e-16,-43.1,39.198564280617745
capsule,6056.210971235003,6056.210971235003,6056.210971235003,50.00000000000002,9.734859061018254e-16,-43.100000000000016,55.01521623052102
capsule,2715.004214033741,6276.159221361546,6276.159221361546,50.000000000000014,9.380493252394128e-16,-43.10000000000001,57.60328325953081
