vehicle,drag_x,drag_y,drag_z,drag_cx,drag_cy,drag_cz,leg_3_LENGTH,leg_2_LENGTH,arm_1_LENGTH,arm_4_LENGTH,leg_4_LENGTH,arm_2_LENGTH,leg_1_LENGTH,arm_3_LENGTH,prop_3_DIAMETER,prop_4_DIAMETER,prop_2_DIAMETER,prop_1_DIAMETER
quad,15005.023154649245,23013.42656948339,19824.109802250776,21.115400758432312,10.662881966443043,9.735360063677717,-23.709487740819682,104.2858505135095,85.62142111796791,168.38483158257506,125.81269369408982,172.4701149996453,88.0194122815447,201.32894209411418,251.59110532190095,273.6324722961084,98.84267661943306,238.30261199705413
quad,14680.831698303495,22765.363055736078,19786.83167572418,23.098033672408942,11.190573732305273,7.62283352044367,-26.78796255953733,90.02946586300513,98.06084080874119,166.3311185161807,109.86056079185684,161.20847726259265,94.73998372602966,199.3837880385008,236.080224560446,283.6001295479249,118.3956199492832,255.08934786584834
quad,14426.794645413469,22998.694788634173,19609.249575363425,23.38699802722013,5.547959336267603,6.433622461565552,-12.921420260686151,91.03131899027984,79.32464524925412,164.16184581972848,115.11898312222169,156.86151269622448,84.63647001751217,209.30045091648373,217.94102027453192,296.93638272682506,127.03884094967404,241.27969104200506
quad,14911.602015609393,23241.184910636257,19772.849009827667,25.234001070608542,8.625753136431635,10.267252392319865,-32.68861277227357,105.2463275342468,76.58565026613235,159.78545092216825,130.30137784863314,158.44530760190935,95.52631710097704,228.48317868599895,226.99052318350357,284.42848991108167,124.56041848395948,233.53521696926808
quad,15021.436602452684,22988.50085201922,19505.620135363082,17.556714491609767,6.477421829840306,8.639351327374172,-46.24318544313821,96.85557312592739,90.80346856733847,141.59759674875056,121.87800517755485,143.76708489591908,84.70765067342452,225.07461259709174,246.23166060033006,274.5459535322491,105.82907447934276,232.93555555114753
quad,14240.943337396033,22926.867643470407,19242.12276406632,20.96143950416876,15.01805487060473,8.189961462638372,-38.612365079157684,109.42411825082498,75.52802082885695,157.71637273831715,103.67078252508449,134.35047071888317,78.98922812117316,211.22648546898446,226.7495668259678,276.3510208116554,94.83927200003282,239.64803591384097
quad,13406.495457954255,22462.696690869136,18498.200188329436,26.854140507561713,17.2192236327238,7.070951562351429,-57.57356555619731,98.41363530096037,88.98333163570784,147.63905085683916,98.76160899108798,121.63936483505324,72.61301698486518,218.9842061527217,213.01312072457142,295.2409705621793,103.10180399798115,256.0820501498609
quad,13362.894834622317,21682.969272529826,18277.617174681396,27.481164462902797,23.678423118101286,8.08866255376272,-62.57150104805926,105.73280936375322,79.6594498397521,154.82363852858154,81.10029116558844,113.90112016766062,91.03036336459168,215.15318967392557,205.7795577662545,275.8381297566442,110.60477693612295,249.4479587300495
quad,13416.772786598194,22621.145422793918,19112.218816272096,22.767882596961304,16.32380284620588,5.555522543617142,-44.90095788718206,109.18537676727334,67.18311909453732,156.42629997813953,72.44662056350965,106.71761033151306,87.41177872181895,233.24341817153726,211.75700758260584,273.10349931890124,127.49380318996523,253.02591495197336
quad,14130.052689390945,22103.047430079434,18875.468060756473,12.480263690518635,16.754865997485105,7.711368732372013,-25.00198876138375,112.982029793422,47.925580316765235,137.90476859645014,66.34225047670644,89.42518423088998,104.14073914966646,248.76039845029067,201.49686403958592,265.7786081646197,109.00887717623266,254.6723916983696
