capsule,xmin,xmax,ymin,ymax,zmin,zmax,surface_area,cg_x,cg_y,cg_z,density,mass,volume,cg_inert_tensor_x,cg_inert_tensor_y,cg_inert_tensor_z
,-500.0000000000001,499.99999999999983,-200.00000000000006,199.99999999999994,-76.30495541392204,76.30495541392204,658260.7537660892,-174.99999738069747,0.0,6.853980277431478,1.55e-06,1.497699170935743,966257.5296359633,9224.962991208995,34152.74526038067,36027.00758223623
,-549.9999999999999,550.0000000000001,-200.0,200.0,-75.27668721703685,75.27668721703685,725572.7016893919,-199.99999410916791,0.0,6.911003694514396,1.55e-06,1.6491976164657203,1063998.4622359485,10248.25647495111,44777.789714095234,46863.177230843066
,-600.0000000000003,599.9999999999997,-200.00000000000006,199.99999999999997,-75.38933254231544,75.38933254231544,792884.7714079533,-224.99999223015885,0.0,6.9583280098481275,1.55e-06,1.8006904383642763,1161735.76668663,11271.527049743505,57464.128154265345,59760.64879371184
,-650.0000000000002,649.9999999999998,-200.00000000000009,199.99999999999991,-75.50287517595946,75.50287517595946,860196.8847768602,-249.99999655120786,0.0,6.998395189475363,1.55e-06,1.9521880374235367,1259476.1531764753,12294.8023929597,72401.49677999223,74909.15487745884
,-700.0000000000007,699.9999999999994,-200.00000000000006,199.99999999999997,-76.75650588962107,76.75650588962107,927508.7059909725,-275.00000051572096,0.0,7.032788433171466,1.55e-06,2.103692736857844,1357221.1205534479,13318.084985353236,89779.56627152923,92498.3661184186
,-749.9999999999998,750.0000000000001,-200.00000000000003,199.99999999999997,-76.87162034369182,76.87162034369182,994820.8731781228,-300.0000000757386,0.0,7.0624546037436975,1.55e-06,2.2551885522557136,1454960.356294009,14341.343826718892,109786.79921270625,112716.74774395925
,-800.0000000000009,799.9999999999992,-200.00000000000009,199.99999999999994,-76.98731263872186,76.98731263872186,1062132.9254265663,-324.9999992671007,0.0,7.0882596632319315,1.55e-06,2.40667522231353,1552693.6918151807,15364.588188791382,132612.23145861417,135753.33640464887
,-850.0000000000003,849.9999999999997,-199.9999999999999,200.0000000000001,-77.10348776195487,77.10348776195487,1129445.0296510633,-350.0000019302201,0.0,7.111115023156121,1.55e-06,2.55817122397408,1650433.0477252128,16387.84439093168,158446.6806090294,161798.94212673116
,-900.0000000000013,899.9999999999989,-199.99999999999994,200.00000000000006,-75.3398138663263,75.3398138663263,1196757.1331024577,-375.00000166803574,0.0,7.131481432889373,1.55e-06,2.709671162020458,1748174.9432390053,17411.108268922082,187479.21975474723,191042.6319242072
,-950.0000000000013,949.9999999999986,-200.00000000000023,199.99999999999977,-75.45673478686126,75.45673478686126,1264069.044449101,-400.00001817760943,0.0,7.149754427986756,1.55e-06,2.861178652364484,1845921.711202893,18434.377525434906,219899.89480117703,223674.45946289788
,-999.999999999999,1000.000000000001,-200.0000000000001,199.9999999999999,-75.57395299432183,75.57395299432183,1331381.1481245784,-425.00002299619325,0.0,7.1660832596166655,1.55e-06,3.012675988211094,1943661.927878125,19457.62966445103,255895.98492277088,259881.71051268597
,-1050.000000000002,1049.9999999999982,-200.00000000000003,199.99999999999997,-75.69142783561807,75.69142783561807,1398693.2497523436,-450.0000144508346,0.0,7.180849182804226,1.55e-06,3.1641734175575693,2041402.204875851,20480.88026719506,295657.9631323293,299854.8511220581
,-1100.0000000000005,1099.9999999999995,-200.0,200.0,-75.80894067165629,75.80894067165629,1466005.4603916805,-474.99999977291753,0.0,7.194135969906804,1.55e-06,3.315655319974765,2139132.4644998484,21504.100405248828,339372.85862423456,343780.9115692813
,-300.0000000000001,299.9999999999999,-200.00000000000014,199.99999999999986,-100.89831716662181,100.89831716662181,410915.2578128306,-49.99999999961903,0.0,6.661944151780849,1.55e-06,0.9456751615471779,610113.0074497922,6991.882056179482,10272.553201720231,9983.873716769507
,-349.9999999999998,350.00000000000017,-200.00000000000003,199.99999999999997,-100.99710895685189,100.99710895685189,484202.82861474704,-74.99999993880357,0.0,6.915199806450083,1.55e-06,1.1102344184719077,716280.269981876,8503.172659364536,15094.541279411858,14759.690325323718
,-400.0000000000003,399.9999999999997,-200.0,200.00000000000003,-100.08198432058188,100.08198432058188,557490.4126706334,-100.0000000397331,0.0,7.102982644101166,1.55e-06,1.2747915805446486,822446.1809965475,10014.345560915288,21304.20545337369,20923.28831168257
,-450.0000000000001,449.99999999999994,-200.00000000000014,199.99999999999986,-100.18843600553764,100.18843600553764,630777.8312349366,-125.00000004967572,0.0,7.248003211276551,1.55e-06,1.439353370825742,928615.0779520916,11525.475135523524,29107.32896917792,28680.41234759533
,-500.0000000000001,499.99999999999983,-200.00000000000006,199.99999999999994,-101.31483834926337,101.31483834926337,704065.4214176532,-150.00000007883162,0.0,7.363107054147249,1.55e-06,1.6039101435037122,1034780.7377443304,13036.529081195356,38709.54504813383,38236.68044638274
,-549.9999999999999,550.0000000000001,-200.0,200.0,-101.42492723504151,101.42492723504151,777352.9918789542,-175.0000000444426,0.0,7.456855695329527,1.55e-06,1.7684693823879554,1140947.9886373905,14547.562150322272,50316.6412795952,49797.86311643204
,-600.0000000000003,599.9999999999997,-200.00000000000006,199.99999999999997,-100.0175508656188,100.0175508656188,850640.3339290034,-200.00000010911975,0.0,7.534737581274293,1.55e-06,1.9330322565058784,1247117.5848425021,16058.586994436326,64134.402930640834,63569.73440118976
,-650.0000000000002,649.9999999999998,-200.00000000000009,199.99999999999991,-100.13054558898668,100.13054558898668,923927.9045189107,-225.0000001307298,0.0,7.600312637485672,1.55e-06,2.097591735333132,1353284.9905375047,17569.574355208817,80368.375124425,79757.83627852637
,-700.0000000000007,699.9999999999994,-200.00000000000006,199.99999999999997,-100.24470617151039,100.24470617151039,997215.4998762044,-250.0000001391298,0.0,7.656296243710596,1.55e-06,2.2621479186058937,1459450.2700683186,19080.531053681087,99224.19499198861,98567.79493676304
,-749.9999999999998,750.0000000000001,-200.00000000000003,199.99999999999997,-100.35936979593298,100.35936979593298,1070503.070163446,-275.00000015802374,0.0,7.704737961072467,1.55e-06,2.4267072906412523,1565617.606865324,20591.491306660177,120907.79316903635,120205.55189969472
,-800.0000000000009,799.9999999999992,-200.00000000000009,199.99999999999994,-101.9935904518702,101.9935904518702,1143790.3658225175,-300.00000022212663,0.0,7.747123567576063,1.55e-06,2.591271620592144,1671788.1423175125,22102.46677110123,145625.05421400935,144876.97925897109
,-850.0000000000003,849.9999999999997,-199.9999999999999,200.0000000000001,-102.10942372502875,102.10942372502875,1217077.938869814,-324.9999936113291,0.0,7.784362275961359,1.55e-06,2.755831133963872,1777955.5702992724,23613.412620948417,173581.19494954468,172787.29571738126
,-900.0000000000013,899.9999999999989,-199.99999999999994,200.00000000000006,-102.22569854051787,102.22569854051787,1290365.5472725006,-349.9999878147649,0.0,7.81729329286165,1.55e-06,2.9203841175906864,1884118.7855423782,25124.314478344844,204981.62869915186,204141.9109104915
,-950.0000000000013,949.9999999999986,-200.00000000000023,199.99999999999977,-102.34234932281109,102.34234932281109,1363653.1261890274,-374.9999878086534,0.0,7.846807264188602,1.55e-06,3.084943277292606,1990285.9853500687,26635.2442418833,240032.93155724803,239147.40276003105
,-999.999999999999,1000.000000000001,-200.0000000000001,199.9999999999999,-102.45956303299342,102.45956303299342,1436940.7006527458,-399.99997396682846,0.0,7.873336429865368,1.55e-06,3.2495027047393834,2096453.3578963764,28146.169850758422,278940.4490470977,278009.11347953894
,-1050.000000000002,1049.9999999999982,-200.00000000000003,199.99999999999997,-100.06959504529927,100.06959504529927,1510227.853251923,-424.9999892076386,0.0,7.897464488120539,1.55e-06,3.4140726762844102,2202627.533086716,29657.137857274447,321911.1148576052,320933.965360418
,-1100.0000000000005,1099.9999999999995,-200.0,200.0,-100.18707885515528,100.18707885515528,1583515.4143206442,-449.99998403232297,0.0,7.919230677480337,1.55e-06,3.578632504113026,2308795.1639438877,31168.060825978682,369148.258486426,368125.31591365783
,-1150.000000000001,1149.9999999999989,-200.00000000000048,199.99999999999955,-100.30477521684655,100.30477521684655,1656803.02689594,-474.99997713421845,0.0,7.9388989919539465,1.55e-06,3.7431781583762556,2414953.650565326,32678.91377443292,420856.6590708584,419787.92958579515
