vehicle,drag_x,drag_y,drag_z,drag_cx,drag_cy,drag_cz,mid_tube_r_LENGTH
tube,2417.2178420244854,1697.3682174098444,2417.2178420244854,-8.180146189786167e-15,112.57418346964741,10.160000000000004,204.82836693929477
tube,2647.073095940523,1853.7922346498144,2647.073095940523,-8.756375785461653e-15,122.22885074831404,10.160000000000005,224.1377014966281
tube,2709.9350191579365,1896.571829171026,2709.9350191579365,-9.196262542965897e-15,124.86925571109516,10.160000000000005,229.41851142219028
tube,2848.2927271645576,1990.7287741778869,2848.2927271645576,-9.542268677545057e-15,130.68072885989153,10.160000000000002,241.04145771978315
tube,3019.011317320346,2106.9083577843035,3019.011317320346,-1.0015184028650318e-14,137.8514641733392,10.160000000000004,255.38292834667837
tube,2972.0269945964264,2074.93398964365,2972.0269945964264,-9.583541907639367e-15,135.87797000479327,10.160000000000004,251.43594000958655
tube,2884.5718661010455,2015.4179146598594,2884.5718661010455,-9.636219450550662e-15,132.20457053686394,10.160000000000005,244.0891410737278
tube,3010.055256950509,2100.813465812831,3010.055256950509,-9.992191142057062e-15,137.47528054679472,10.160000000000004,254.63056109358945
tube,3042.4330756538197,2122.847630291357,3042.4330756538197,-9.910596862878896e-15,138.83525410173317,10.160000000000009,257.35050820346623
tube,3248.144355037099,2262.840883282043,3248.144355037099,-1.039897589798075e-14,147.4757960257384,10.160000000000007,274.63159205147673
tube,3263.3181051552533,2273.167116464184,3263.3181051552533,-1.0343466197545627e-14,148.1131428179676,10.160000000000007,275.90628563593503
tube,3402.625340833941,2367.970246104263,3402.625340833941,-1.095666390839764e-14,153.9644992132398,10.160000000000004,287.60899842647956
tube,3458.0358595836015,2405.6789162020928,3458.0358595836015,-1.0866738492890161e-14,156.29192098477654,10.160000000000005,292.2638419695531
tube,3487.3831394395543,2425.6506998873615,3487.3831394395543,-1.0950573887629695e-14,157.52460206435128,10.160000000000007,294.72920412870246
tube,3640.004108549759,2529.5142605262504,3640.004108549759,-1.1290289451113573e-14,163.93517850932105,10.160000000000004,307.550357018642
tube,3734.4361946960285,2593.7783833587273,3734.4361946960285,-1.1641392049573174e-14,167.9016328610917,10.160000000000007,315.4832657221833
tube,3590.159635030468,2495.5934662339137,3590.159635030468,-1.1480928016382308e-14,161.84154871704814,10.160000000000005,303.3630974340962
tube,3732.6009511710163,2592.5294401220367,3732.6009511710163,-1.1580123092240688e-14,167.8245466718162,10.160000000000004,315.3290933436324
tube,3565.8652532451542,2479.0603449305013,3565.8652532451542,-1.1471525057668999e-14,160.82110576922761,10.160000000000005,301.32221153845524
tube,3613.9071274324315,2511.7544114270454,3613.9071274324315,-1.1402548590436683e-14,162.83902053436566,10.160000000000007,305.35804106873127
tube,3605.805884731329,2506.241250834227,3605.805884731329,-1.142463785233282e-14,162.49874202652066,10.160000000000005,304.6774840530413
tube,3735.673983034932,2594.6207388027087,3735.673983034932,-1.1662034136743649e-14,167.95362399190088,10.160000000000009,315.5872479838016
tube,3817.432269331646,2650.259926366632,3817.432269331646,-1.1727464561642366e-14,171.38773758304407,10.160000000000005,322.45547516608815
tube,3717.912768000783,2582.53365112744,3717.912768000783,-1.1673983192165515e-14,167.20759526861488,10.160000000000007,314.0951905372297
tube,3746.7373206912603,2602.1497018818704,3746.7373206912603,-1.180839450312677e-14,168.41832010932094,10.160000000000005,316.5166402186418
tube,3651.9562316513884,2537.648071166864,3651.9562316513884,-1.142713101926702e-14,164.4372065023902,10.160000000000007,308.55441300478043
tube,3699.8692288889656,2570.2544326844795,3699.8692288889656,-1.1595493680689049e-14,166.4497080170237,10.160000000000009,312.57941603404737
tube,3700.046909567138,2570.3753501966626,3700.046909567138,-1.1654249153666857e-14,166.45717118264815,10.160000000000009,312.59434236529614
tube,3839.274343954493,2665.124172448252,3839.274343954493,-1.1753216429114985e-14,172.3051756644744,10.160000000000004,324.29035132894876
tube,3775.7847876175288,2621.9174530637156,3775.7847876175288,-1.1852874692322624e-14,169.63840807199867,10.160000000000005,318.95681614399734
tube,3613.8866875936096,2511.740501448284,3613.8866875936096,-1.1547654077815302e-14,162.83816199474262,10.160000000000005,305.3563239894852
tube,3486.5711843726635,2425.0981379109976,3486.5711843726635,-1.0988063648350978e-14,157.49049731415516,10.160000000000004,294.6609946283103
tube,3309.1919286876314,2304.3857535883685,3309.1919286876314,-1.0539698311291748e-14,150.03999241335325,10.160000000000007,279.7599848267064
tube,3153.875457062328,2198.68781533701,3153.875457062328,-1.0104338725815366e-14,143.51619610723728,10.160000000000005,266.71239221447456
tube,3027.8702516179583,2112.9371522873157,3027.8702516179583,-9.84935690534563e-15,138.22356818936603,10.160000000000005,256.12713637873196
tube,2795.1962011635906,1954.5948518199857,2795.1962011635906,-9.154573633878148e-15,128.45050230009468,10.160000000000005,236.58100460018932
tube,2613.45390033756,1830.9132725943596,2613.45390033756,-8.780856139410325e-15,120.81673533135866,10.160000000000004,221.31347066271735
tube,2515.223447038879,1764.06423669677,2515.223447038879,-8.643565721863376e-15,116.69073722135775,10.160000000000005,213.06147444271542
tube,2588.9229027973793,1814.219126531723,2588.9229027973793,-8.636136390778107e-15,119.78635375326022,10.160000000000002,219.25270750652044
tube,2754.4299197014852,1926.8520641064317,2754.4299197014852,-9.058219423216295e-15,126.7381860619422,10.160000000000004,233.15637212388435
tube,2952.0246804827675,2061.321760754172,2952.0246804827675,-9.43563451474641e-15,135.03780784064583,10.160000000000004,249.7556156812917
tube,2794.1541372089628,1953.8856932202723,2794.1541372089628,-9.118220795901475e-15,128.4067322291756,10.160000000000002,236.49346445835124
tube,2732.057833150696,1911.6271275748834,2732.057833150696,-9.107334182294622e-15,125.79848575795744,10.160000000000005,231.2769715159148
tube,2696.0848910805385,1887.1463640739958,2696.0848910805385,-9.000596451932698e-15,124.28750534395743,10.160000000000004,228.2550106879148
tube,2892.9486626388693,2021.1185986499972,2892.9486626388693,-9.581169014136458e-15,132.55642320090317,10.160000000000002,244.79284640180634
tube,2714.6974595682777,1899.8128256162229,2714.6974595682777,-9.23683515727275e-15,125.0692936776544,10.160000000000004,229.8185873553088
tube,2796.8542609333417,1955.723215716785,2796.8542609333417,-9.062165863742086e-15,128.5201461961221,10.160000000000004,236.72029239224426
tube,2829.4718006047647,1977.9205181536997,2829.4718006047647,-9.355799567339348e-15,129.89018881038115,10.160000000000004,239.46037762076227
tube,2981.603405756961,2081.4510506155066,2981.603405756961,-9.665268606058794e-15,136.28021037956594,10.160000000000005,252.24042075913192
tube,2811.5449069107963,1965.7206807322377,2811.5449069107963,-9.082799180476841e-15,129.13720104522645,10.160000000000005,237.95440209045293
tube,2681.3909020865303,1877.146624026452,2681.3909020865303,-9.102845135439067e-15,123.67031007729904,10.160000000000002,227.02062015459805
tube,2702.664226826276,1891.6238172128078,2702.664226826276,-8.989545771909133e-15,124.56385881622971,10.160000000000005,228.80771763245946
tube,2746.635760554937,1921.547883915031,2746.635760554937,-9.142426339577041e-15,126.41080606085505,10.160000000000002,232.50161212171017
tube,2724.8743489883827,1906.7385316811412,2724.8743489883827,-9.18474103357509e-15,125.49675608979825,10.160000000000002,230.67351217959657
tube,2496.5993924267214,1751.3899584712462,2496.5993924267214,-8.657589022186036e-15,115.90846643312602,10.160000000000004,211.49693286625202
tube,2370.991723503661,1665.9098320249288,2370.991723503661,-8.21072703504448e-15,110.6325363404249,10.16,200.94507268084985
tube,2155.109759811712,1518.9950957505816,2155.109759811712,-7.649115443020825e-15,101.56479263911147,10.160000000000002,182.80958527822295
tube,2258.2463313643025,1589.1829055646087,2258.2463313643025,-7.733334169680377e-15,105.89686365179489,10.160000000000002,191.4737273035898
tube,2271.8425440147626,1598.4355729098183,2271.8425440147626,-7.767018947964739e-15,106.46794874623497,10.160000000000002,192.61589749246997
tube,2056.9937181258715,1452.2239206971299,2056.9937181258715,-7.412880365711062e-15,97.4436001884808,10.160000000000004,174.56720037696158
tube,1979.8664700458537,1399.736306088384,1979.8664700458537,-7.266621323560604e-15,94.20400524494399,10.160000000000002,168.08801048988795
tube,2211.4452941770364,1557.3332692256295,2211.4452941770364,-7.696368605408607e-15,103.93106807113517,10.160000000000002,187.54213614227035
tube,2029.3888730382814,1433.4379208545279,2029.3888730382814,-7.460358424135243e-15,96.2841070289415,10.160000000000004,172.24821405788296
tube,2213.895657596321,1559.0008216666215,2213.895657596321,-7.764048447034053e-15,104.03399129399808,10.160000000000002,187.74798258799618
tube,2333.603113155942,1640.4656599646005,2333.603113155942,-8.077494435616396e-15,109.06209326040378,10.16,197.8041865208076
tube,2496.7798868295527,1751.5127908150764,2496.7798868295527,-8.569315209706563e-15,115.91604778432554,10.160000000000004,211.5120955686511
tube,2432.613460904703,1707.8454395403373,2432.613460904703,-8.248746264628155e-15,113.22084947055575,10.16,206.12169894111148
tube,2346.009760319198,1648.9087890934404,2346.009760319198,-8.181486046724052e-15,109.58321274044323,10.160000000000002,198.84642548088644
tube,2193.629024018029,1545.2087147374282,2193.629024018029,-7.653788029032914e-15,103.18272685377552,10.160000000000002,186.045453707551
tube,2149.7289133483096,1515.3332537625604,2149.7289133483096,-7.611594445648786e-15,101.33877960962151,10.160000000000002,182.35755921924303
tube,2002.8430998302267,1415.3726540607483,2002.8430998302267,-7.311344335029566e-15,95.16909832841235,10.160000000000002,170.01819665682467
tube,2210.490656290958,1556.6836069246574,2210.490656290958,-7.659140176719064e-15,103.89097017907197,10.160000000000004,187.46194035814392
tube,2293.9515994214307,1613.4815081458928,2293.9515994214307,-7.788173477323567e-15,107.39660088779081,10.160000000000002,194.4732017755816
tube,2126.6841222063986,1499.6505197573138,2126.6841222063986,-7.347172829005923e-15,100.37082352773537,10.160000000000002,180.42164705547074
tube,2086.9217986952,1472.5909582617608,2086.9217986952,-7.358528175273456e-15,98.70067678457,10.160000000000004,177.08135356913996
tube,2128.9194702273217,1501.1717471880772,2128.9194702273217,-7.400126304763118e-15,100.46471540545564,10.160000000000002,180.60943081091122
tube,2103.440221043455,1483.8322848712642,2103.440221043455,-7.441986675972415e-15,99.39450417821811,10.160000000000002,178.46900835643623
tube,2251.459625232726,1584.564330096605,2251.459625232726,-7.712592644448293e-15,105.61179994973833,10.160000000000004,190.90359989947663
tube,2064.7080340029943,1457.4737649325732,2064.7080340029943,-7.405302590698535e-15,97.76762651290562,10.160000000000002,175.21525302581122
tube,2301.6332178354933,1618.70910068842,2301.6332178354933,-7.70962843770999e-15,107.71925381255944,10.160000000000002,195.11850762511892
tube,2525.151609221988,1770.8206757427934,2525.151609221988,-8.506934071625473e-15,117.10775228163375,10.160000000000004,213.8955045632675
tube,2498.303153584146,1752.5494236569284,2498.303153584146,-8.707700885576351e-15,115.98002993588265,10.160000000000002,211.64005987176535
tube,2336.629624174134,1642.525299688388,2336.629624174134,-8.035922978814312e-15,109.18921655385932,10.16,198.0584331077187
tube,2273.947464762238,1599.8680403156409,2273.947464762238,-7.816658570275056e-15,106.55636225481747,10.160000000000004,192.79272450963492
tube,2479.6694097256677,1739.8685515824156,2479.6694097256677,-8.258389802937698e-15,115.19735216783293,10.160000000000002,210.07470433566587
tube,2394.5789914484644,1681.961739235149,2394.5789914484644,-8.167985993815795e-15,111.62327821010187,10.16,202.92655642020375
tube,2225.002797717794,1566.5595937557846,2225.002797717794,-7.809583404325835e-15,104.50052725723314,10.16,188.68105451446627
tube,2098.6540997143265,1480.575172786396,2098.6540997143265,-7.423361738501458e-15,99.19347153614959,10.160000000000002,178.0669430722992
tube,2202.9066659139667,1551.5224534540835,2202.9066659139667,-7.744524954794436e-15,103.57241794897496,10.160000000000004,186.8248358979499
tube,2096.346133178986,1479.0045260817305,2096.346133178986,-7.41987219947739e-15,99.09652944494486,10.160000000000004,177.87305888988976
