vehicle,drag_x,drag_y,drag_z,drag_cx,drag_cy,drag_cz,fork_l_1_LENGTH,fork_r_2_LENGTH,post_l_2_LENGTH,post_r_2_LENGTH,cylinder_3_LENGTH,post_r_4_LENGTH,tbar_post_1_LENGTH,tbar_post_2_LENGTH,cylinder_2_LENGTH,fork_l_3_LENGTH,post_l_3_LENGTH,fork_r_4_LENGTH,post_r_1_LENGTH,tbar_cross_3_LENGTH,fork_l_4_LENGTH,cylinder_1_LENGTH,tbar_post_3_LENGTH,post_r_3_LENGTH,tbar_cross_2_LENGTH,cylinder_0_LENGTH,fork_r_1_LENGTH,post_l_1_LENGTH,fork_l_2_LENGTH,fork_r_3_LENGTH,post_l_4_LENGTH,tbar_cross_1_LENGTH,t_cross_mp_bottom_prop_DIAMETER,fork_post_mp_6_prop_DIAMETER,fork_post_mp_8_prop_DIAMETER,tail_tbar_post_mp_prop_DIAMETER,fork_post_mp_2_prop_DIAMETER,t_post_mp_bottom_prop_DIAMETER,fork_post_mp_4_prop_DIAMETER,t_cross_mp_top_prop_DIAMETER,fork_post_mp_3_prop_DIAMETER,fork_post_mp_7_prop_DIAMETER,t_post_mp_top_prop_DIAMETER,fork_post_mp_1_prop_DIAMETER,fork_post_mp_5_prop_DIAMETER,tail_tbar_cross_mp_prop_DIAMETER,left_wing_CHORD_1,left_wing_CHORD_2,left_wing_SPAN,right_wing_CHORD_1,right_wing_CHORD_2,right_wing_SPAN
tbar_full,1989819.6191809417,4099910.2504210435,4760602.912635362,-773.1884427118121,104.06815347917852,-21.071005687796493,1486.351074561052,1504.407468189601,458.7135568018454,494.38494210603,1986.146873619197,515.0818563815919,1965.2017435846878,2012.708433555429,2043.728576186088,1503.4885638069106,571.0025749301158,1523.8748208607096,529.8782756720763,992.50402266137,1517.7175546236606,2019.2756363144886,1986.0300899897006,485.40875430589494,1061.9431240225156,1972.5790127610082,1468.3160365045203,466.2579184391326,1448.116950347888,1537.4664519950927,497.5690291713856,1069.9853416848894,1525.0629666783566,1586.608191666404,1598.4674440972376,1512.581031785537,1629.0974253812665,1572.2503744489954,1610.707875844248,1574.5958507503706,1509.3932382769553,1528.2494234163148,1559.786425150307,1559.3231061009758,1552.407943926058,1617.1800308808317,1371.8092176997443,1370.1661504732313,8025.636143765875,1378.4823460776488,1430.039593921191,8068.9858994676315
tbar_full,1995808.0515858587,4093855.1226504087,4763797.820055604,-777.0507473230082,107.6667104568,-21.35805072825888,1486.4312258212753,1508.912803814814,440.95041591084765,509.7900067605505,1999.380268658273,523.3251447709565,1961.7730578531707,2009.8224287891605,2055.5756257381304,1502.4470290946288,571.2265330615234,1524.5503302341135,511.23898812206517,1006.7242484091377,1531.8541800002392,2032.1636263853286,1969.1777787787191,498.59579881144634,1064.0152489340653,1962.5387456886763,1465.0248468301752,449.474349294959,1438.5700050196467,1544.2559924831198,496.1135025892828,1077.2154592130125,1534.432442183375,1592.3269497641506,1617.531347202841,1509.715496924086,1639.0098415466582,1563.9947338700663,1611.3434758779533,1571.2585722776662,1528.5981114941235,1515.2733325909426,1561.4586952939394,1577.3712254812192,1553.6330765967375,1622.1383806676595,1353.1892279694073,1365.8948748102184,8036.257785003974,1361.2710941684986,1422.7464101826727,8067.754265030073
tbar_full,1997596.8206635753,4091322.650646834,4766234.0137977265,-778.9127234955854,116.88671304541123,-20.095598233817316,1475.6405322322953,1501.0400453692293,455.4704194509206,517.8740441013531,2005.4747180002546,541.3629661515394,1946.6226443466796,2022.295414350342,2070.258005275832,1513.8072144992339,576.9892518567025,1543.981572325762,507.8597702198953,1004.8391261623041,1526.0916937166585,2030.1656129912612,1954.527739376232,485.0979444488305,1074.412213673449,1943.8032164909105,1464.3948208964187,458.37090128187947,1439.4995996282637,1562.297138434773,507.17953619937674,1077.7121465842447,1547.577989688501,1582.6226008133788,1622.72753058558,1520.8973823907074,1621.0024449318819,1582.906210017715,1624.7288671789422,1579.3025312941954,1522.8842950547435,1511.9798201766118,1580.5053239153533,1594.3663368350103,1551.9116610341935,1634.2930419988331,1362.367962080919,1369.6782715808613,8036.332006992569,1344.6546391554853,1435.8202207503975,8054.441146728036
tbar_full,1994090.6467908232,4082240.674765066,4765378.530904196,-772.9902739376041,138.0357020032376,-21.45688133354048,1457.9940755607354,1488.2486951509634,468.29950005326435,501.22994842293053,2016.3865758183465,547.7665023237853,1963.2195560117086,2003.2329160912407,2084.6099024558457,1515.765212221443,582.985388173961,1530.0068486339105,490.2905040543304,1001.5857660333654,1520.176024959134,2028.672792259333,1946.4146811720468,491.199575678225,1066.1012365815834,1942.99220507713,1483.3220690759554,458.60000739761784,1457.3944520128675,1558.3945212468207,490.49540430959854,1073.5791452545272,1557.2384252830711,1583.1180533872296,1637.8343259654937,1527.44522838234,1633.4309112516535,1589.6676242096175,1640.927639645225,1587.697399267412,1533.6464253135975,1521.578728876875,1591.6887448276304,1588.029084910446,1546.1609417487643,1629.0642723130236,1349.2545558421796,1379.8472687241142,8035.232473742725,1348.8022770154053,1453.9110923895246,8068.272071116306
tbar_full,2000556.4357136118,4113198.163925059,4771921.616953,-778.21074638291,114.31615914555371,-20.897936260791347,1453.2339962415554,1495.5148658460269,458.3337302756376,515.3697898042929,2019.9768553000142,551.821813874417,1956.727944078975,2021.0416975308215,2096.8091979935284,1519.1358630824848,579.4977775929857,1533.8713503032034,487.4353074683032,1014.1218865113925,1513.7454958942872,2035.4569958233872,1946.0096941589236,486.5463862710546,1064.7354284255937,1957.9676573817383,1478.6472529156938,466.1767231674701,1463.2053226340054,1572.2529677151083,505.6738637731787,1088.7235823411659,1539.982787194515,1587.7142143046503,1636.9283767906647,1521.468513951255,1636.1695624488143,1601.3962255147126,1638.5043829488345,1586.0676656942744,1517.8405936069441,1533.0374395107835,1606.9983946081627,1578.8830901072877,1555.8151807008828,1610.561594801679,1343.0634032292437,1379.9046752095683,8040.914934653978,1357.0316196648475,1437.1733373228697,8060.466124287001
tbar_full,1988286.9943680563,4097626.856267776,4777671.343765675,-774.6831253347274,107.64564850602545,-20.843401612616958,1470.486449313549,1503.2943982271715,478.0966469788447,502.83957438768454,2036.8088100362493,539.4208297657798,1941.5254558879087,2035.0521581776436,2094.205107342216,1528.471115104939,570.6621110856329,1542.6740171547165,484.50349013678164,1004.3395226786113,1521.4574194259628,2055.337817890438,1930.137878584561,504.52392716877654,1059.3976598174336,1938.4530497546475,1463.2981969284465,474.2501118991123,1467.9817553013713,1585.0340782195096,486.8127674483859,1102.5928597949362,1558.6857394384217,1579.4737115264095,1629.9488495802227,1512.6728163483624,1621.5360376206577,1588.1784238644555,1658.4252691944398,1575.2558740648776,1510.9065088384878,1528.008845037057,1611.5987625656667,1561.9570670531466,1559.3982067554607,1596.8901978106014,1343.5693757151491,1395.6382254604512,8033.310539212024,1366.4217002808857,1440.2854004043643,8075.571648697052
tbar_full,1999451.8099660832,4089839.4903687476,4784838.243544843,-775.7627767057922,104.47269945166336,-20.63029154473235,1475.994497070739,1498.594560017707,488.0654335956642,506.4309810153029,2019.4556995122307,526.6095234530987,1957.4865734673976,2024.2491264207201,2097.2825019397987,1519.8954533624374,569.5543186851095,1550.6597807004518,489.4971182065946,1021.6570352411239,1531.7648321140184,2036.316918303545,1935.9685752823314,507.43109584425406,1047.556675259689,1954.700140754922,1463.9860602216559,478.9661852144738,1486.3527898309087,1586.5742108041954,502.4961755064021,1119.0558248250472,1552.314244097162,1581.601931762323,1628.2997025953016,1505.5466097423987,1638.533542577499,1596.2119473998468,1677.43843207697,1579.7870038655508,1526.2351529760767,1514.6411412532436,1625.5267868909536,1542.2624481485673,1574.449941201725,1604.4380000984734,1350.9908524438704,1385.87931930175,8033.986758201337,1353.931402996967,1432.9935005788495,8067.429707852689
tbar_full,1993772.7438990197,4107982.9211332886,4769809.238411288,-774.484279833031,129.42917792444848,-21.113066131840473,1457.7168919491514,1494.5747664396615,481.2146567077379,501.3261975160216,2030.6720536769096,513.1605304602822,1970.148788261785,2008.0796729779472,2083.9983899971257,1510.8896444707048,561.932508680813,1541.768216367357,486.31734599187604,1024.0500196410449,1531.4700545645485,2033.4268314209614,1920.7720742418965,490.8836353408416,1029.6356575173477,1947.4982658112908,1479.037803233552,498.3545725998208,1478.8696153376488,1584.4669576899992,507.77279120324846,1125.9909343171996,1537.8660440188753,1590.8437635594412,1634.438367957334,1494.810087800245,1651.3896974290308,1599.3208096122353,1663.8651828175073,1565.701751004096,1544.5853021191442,1532.4088563359198,1606.7667690088995,1549.069319843463,1574.91664671331,1602.6640509787335,1350.5652402549717,1367.7584931053443,8034.900905837771,1340.6868777559948,1433.5227583379078,8077.111264678994
tbar_full,2001193.1444429085,4105833.0888814395,4772104.602368727,-778.1477836172346,117.64148501975231,-21.973981336479294,1446.83636019758,1500.1314395839197,464.89307631807316,499.2010654434256,2026.8843280276058,527.3625639021792,1980.8768314931795,2013.889225224419,2076.6532495273855,1497.4959595591833,549.405698631564,1561.7052373962404,468.9489303625029,1034.5670796704437,1550.39878122284,2040.8344121892933,1937.9416244573272,483.5911830165741,1032.9786777366098,1958.4876807120493,1478.1106424191212,505.26423129969265,1466.2422884970122,1571.7959494315346,491.5193031981411,1113.0023784720513,1545.1627552003422,1586.961280201911,1646.5433784774589,1477.8109538149768,1646.6650743909236,1601.2583241632185,1675.8878593394352,1575.5928371072096,1547.1491613492026,1521.389644908197,1613.4608994687605,1545.0252104786355,1564.7517819595037,1615.9467561769104,1348.604180323352,1377.0154899009367,8015.388535879151,1337.4727292684502,1432.5172734670489,8075.578518745432
tbar_full,2008877.1623214984,4099037.599600917,4782363.9582845755,-784.4667362760541,95.7870138835091,-21.574358077710567,1459.1438429782866,1499.9933244083227,445.35258094319465,486.7301389395921,2024.3499207034686,542.8609727381516,1986.598134782985,2009.4774924731232,2063.540809767829,1517.2200738067677,540.3858186614326,1570.285828557541,473.08338866172966,1021.0235225963747,1569.9058134981487,2049.0877656154407,1950.2844267768946,468.37623761227195,1050.4542658300456,1954.661255126492,1489.7193794099558,519.5024722687514,1475.7199645839644,1562.983009199479,491.1361223161779,1124.3867247189305,1530.9052703767381,1593.9685541148308,1630.5637741046214,1463.06185413685,1650.1486751798736,1584.8731719753982,1678.6771043798858,1581.2719408647445,1528.3388700719163,1511.3020634794912,1622.3440266349364,1547.3470604278125,1561.2881037228906,1610.7350291414782,1366.884040733426,1392.5232129979192,8000.688985167519,1348.0671384270863,1437.3773754977194,8060.519235028181
